match_id,team_name,team_id,account_id,match_date,competition,season,match_week,competition_stage,home_team,away_team,np_xg,np_shots,obv_shot,xgchain,goals,Goal Envolvement Index (norm),Goal Conversion Index (norm),Possession GoalChance Index (norm),Goal Performance Index,match_score
3980905,Universidad de Chile,1917,7336,2025-02-24,Chile - Primera División,2025,2,Regular Season,Universidad de Chile,Unión La Calera,1.238508054,12.0,-0.521015046,6.872245186,1.0,3.275478964933635,3.029368992803236,3.063967894428026,6.11437191066016,Universidad de Chile(1) - Unión La Calera(0)
3980905,Unión La Calera,1954,7336,2025-02-24,Chile - Primera División,2025,2,Regular Season,Universidad de Chile,Unión La Calera,0.680246616,10.0,0.04324720099999999,2.897791632,0.0,2.8592177326949786,2.289715635413997,3.679740220577453,5.762195157747666,Universidad de Chile(1) - Unión La Calera(0)
3980906,Colo Colo,1916,7336,2025-02-25,Chile - Primera División,2025,2,Regular Season,Colo Colo,O'Higgins,1.0507053236,18.0,-0.442459265,5.943445689,0.0,7.466525922054457,1.585176657935553,5.341395110735176,7.233227678773022,Colo Colo(0) - O'Higgins(1)
3980906,O'Higgins,1962,7336,2025-02-25,Chile - Primera División,2025,2,Regular Season,Colo Colo,O'Higgins,1.587699549,14.0,-0.580189581,7.30256523,1.0,4.444728471848816,2.7709254804076724,8.798693459243445,7.568498631143985,Colo Colo(0) - O'Higgins(1)
3980907,Cobresal,1926,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Cobresal,Universidad de Chile,0.9582836060000001,21.0,-0.23924796,6.55938784,2.0,3.4707199325527736,2.4463266106892,7.058829098871246,6.7408723940528645,Cobresal(2) - Universidad de Chile(1)
3980907,Universidad de Chile,1917,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Cobresal,Universidad de Chile,1.183780861,14.0,-0.5924140876999999,5.7113322,1.0,3.8432041715847314,2.7294033027220714,3.0040202708680233,6.13894399144627,Cobresal(2) - Universidad de Chile(1)
3980908,Colo Colo,1916,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Huachipato,Colo Colo,1.408985775,17.0,-0.866249153,6.11524595,1.0,3.6215158776308636,2.615266076948847,3.8364801208321557,6.19012686535018,Huachipato(2) - Colo Colo(1)
3980908,Huachipato,1915,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Huachipato,Colo Colo,0.8315691565,8.0,0.8966357970000001,2.6348627985,2.0,1.5293838423677952,6.281350206203172,3.1531810044892237,7.12216731199959,Huachipato(2) - Colo Colo(1)
3980909,Deportes Iquique,1864,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Universidad Católica,Deportes Iquique,0.462445738,6.0,0.002537868000000002,2.322876475,0.0,1.4921343548756107,2.9507837040371925,2.4467079041241973,5.384036372741326,Universidad Católica(1) - Deportes Iquique(0)
3980909,Universidad Católica,1924,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Universidad Católica,Deportes Iquique,0.852765165,16.0,-0.6861304426,2.880201797,1.0,3.7682383960311157,1.979437529039199,2.604383616593903,5.675889610732374,Universidad Católica(1) - Deportes Iquique(0)
